2002.041096
   Z       E            F
   3  4.606E+04  5.026E-13
   3  5.295E+04  3.231E-13
   3  6.088E+04  2.049E-13
   3  7.000E+04  1.328E-13
   4  9.000E-02  1.540E-03
   4  1.035E-01  1.789E-03
   4  1.190E-01  2.079E-03
   4  1.368E-01  2.416E-03
   4  1.573E-01  2.807E-03
   4  1.808E-01  3.263E-03
   4  2.079E-01  3.792E-03
   4  2.390E-01  4.408E-03
   4  2.748E-01  5.123E-03
   4  3.160E-01  5.953E-03
   4  3.633E-01  6.914E-03
   4  4.177E-01  8.024E-03
   4  4.803E-01  9.302E-03
   4  5.522E-01  1.077E-02
   4  6.349E-01  1.243E-02
   4  7.300E-01  1.432E-02
   4  8.393E-01  1.644E-02
   4  9.650E-01  1.878E-02
   4  1.110E+00  2.135E-02
   4  1.276E+00  2.412E-02
   4  1.467E+00  2.704E-02
   4  1.686E+00  3.006E-02
   4  1.939E+00  3.309E-02
   4  2.229E+00  3.602E-02
   4  2.563E+00  3.872E-02
   4  2.947E+00  4.105E-02
   4  3.388E+00  4.286E-02
   4  3.896E+00  4.402E-02
   4  4.479E+00  4.441E-02
   4  5.150E+00  4.396E-02
   4  5.921E+00  4.264E-02
   4  6.808E+00  4.051E-02
   4  7.828E+00  3.765E-02
   4  9.000E+00  3.422E-02
   4  1.035E+01  3.039E-02
   4  1.190E+01  2.637E-02
   4  1.368E+01  2.236E-02
   4  1.573E+01  1.853E-02
   4  1.808E+01  1.502E-02
   4  2.079E+01  1.192E-02
   4  2.390E+01  9.263E-03
   4  2.748E+01  7.056E-03
   4  3.160E+01  5.273E-03
   4  3.633E+01  3.872E-03
   4  4.177E+01  2.798E-03
   4  4.803E+01  1.991E-03
   4  5.522E+01  1.398E-03
   4  6.349E+01  9.686E-04
   4  7.300E+01  6.636E-04
   4  8.393E+01  4.498E-04
   4  9.650E+01  3.021E-04
   4  1.110E+02  2.011E-04
   4  1.276E+02  1.330E-04
   4  1.467E+02  8.727E-05
   4  1.686E+02  5.692E-05
   4  1.939E+02  3.699E-05
   4  2.229E+02  2.388E-05
   4  2.563E+02  1.537E-05
   4  2.947E+02  9.850E-06
   4  3.388E+02  6.295E-06
   4  3.896E+02  4.010E-06
   4  4.479E+02  2.551E-06
   4  5.150E+02  1.617E-06
   4  5.921E+02  1.023E-06
   4  6.808E+02  6.471E-07
   4  7.828E+02  4.084E-07
   4  9.000E+02  2.575E-07
   4  1.035E+03  1.620E-07
   4  1.190E+03  1.019E-07
   4  1.368E+03  6.407E-08
   4  1.573E+03  4.025E-08
   4  1.808E+03  2.526E-08
   4  2.079E+03  1.585E-08
   4  2.390E+03  9.926E-09
   4  2.748E+03  6.226E-09
   4  3.160E+03  3.902E-09
   4  3.633E+03  2.442E-09
   4  4.177E+03  1.530E-09
   4  4.803E+03  9.568E-10
   4  5.522E+03  5.993E-10
   4  6.349E+03  3.750E-10
   4  7.300E+03  2.347E-10
   4  8.393E+03  1.467E-10
   4  9.650E+03  9.172E-11
   4  1.110E+04  5.742E-11
   4  1.276E+04  3.588E-11
   4  1.467E+04  2.245E-11
   4  1.686E+04  1.404E-11
   4  1.939E+04  8.768E-12
   4  2.229E+04  5.486E-12
   4  2.563E+04  3.428E-12
   4  2.947E+04  2.145E-12
   4  3.388E+04  1.340E-12
   4  3.896E+04  8.377E-13
   4  4.479E+04  5.233E-13
   4  5.150E+04  3.276E-13
   4  5.921E+04  2.043E-13
   4  6.808E+04  1.283E-13
   4  7.828E+04  7.951E-14
   4  9.000E+04  5.038E-14
   5  1.100E-01  3.772E-03
   5  1.265E-01  4.387E-03
   5  1.454E-01  5.103E-03
   5  1.672E-01  5.937E-03
   5  1.922E-01  6.908E-03
   5  2.210E-01  8.040E-03
   5  2.541E-01  9.359E-03
   5  2.922E-01  1.089E-02
   5  3.359E-01  1.268E-02
   5  3.862E-01  1.476E-02
   5  4.441E-01  1.716E-02
   5  5.106E-01  1.994E-02
   5  5.870E-01  2.313E-02
   5  6.749E-01  2.678E-02
   5  7.760E-01  3.093E-02
   5  8.922E-01  3.559E-02
   5  1.026E+00  4.078E-02
   5  1.179E+00  4.647E-02
   5  1.356E+00  5.261E-02
   5  1.559E+00  5.912E-02
   5  1.793E+00  6.586E-02
   5  2.061E+00  7.264E-02
   5  2.370E+00  7.922E-02
   5  2.725E+00  8.534E-02
   5  3.133E+00  9.067E-02
   5  3.602E+00  9.492E-02
   5  4.141E+00  9.779E-02
   5  4.762E+00  9.903E-02
   5  5.475E+00  9.848E-02
   5  6.295E+00  9.606E-02
   5  7.237E+00  9.184E-02
   5  8.321E+00  8.599E-02
   5  9.567E+00  7.882E-02
   5  1.100E+01  7.068E-02
   5  1.265E+01  6.201E-02
   5  1.454E+01  5.322E-02
   5  1.672E+01  4.467E-02
   5  1.922E+01  3.668E-02
   5  2.210E+01  2.949E-02
   5  2.541E+01  2.322E-02
   5  2.922E+01  1.793E-02
   5  3.359E+01  1.358E-02
   5  3.862E+01  1.010E-02
   5  4.441E+01  7.388E-03
   5  5.106E+01  5.320E-03
   5  5.870E+01  3.773E-03
   5  6.749E+01  2.641E-03
   5  7.760E+01  1.826E-03
   5  8.922E+01  1.247E-03
   5  1.026E+02  8.438E-04
   5  1.179E+02  5.657E-04
   5  1.356E+02  3.759E-04
   5  1.559E+02  2.478E-04
   5  1.793E+02  1.624E-04
   5  2.061E+02  1.058E-04
   5  2.370E+02  6.856E-05
   5  2.725E+02  4.419E-05
   5  3.133E+02  2.839E-05
   5  3.602E+02  1.816E-05
   5  4.141E+02  1.158E-05
   5  4.762E+02  7.365E-06
   5  5.475E+02  4.669E-06
   5  6.295E+02  2.956E-06
   5  7.237E+02  1.868E-06
   5  8.321E+02  1.178E-06
   5  9.567E+02  7.420E-07
   5  1.100E+03  4.663E-07
   5  1.265E+03  2.931E-07
   5  1.454E+03  1.839E-07
   5  1.672E+03  1.153E-07
   5  1.922E+03  7.229E-08
   5  2.210E+03  4.522E-08
   5  2.541E+03  2.833E-08
   5  2.922E+03  1.771E-08
   5  3.359E+03  1.108E-08
   5  3.862E+03  6.924E-09
   5  4.441E+03  4.325E-09
   5  5.106E+03  2.702E-09
   5  5.870E+03  1.688E-09
   5  6.749E+03  1.054E-09
   5  7.760E+03  6.581E-10
   5  8.922E+03  4.103E-10
   5  1.026E+04  2.561E-10
   5  1.179E+04  1.598E-10
   5  1.356E+04  9.979E-11
   5  1.559E+04  6.222E-11
   5  1.793E+04  3.881E-11
   5  2.061E+04  2.421E-11
   5  2.370E+04  1.510E-11
   5  2.725E+04  9.417E-12
   5  3.133E+04  5.877E-12
   5  3.602E+04  3.661E-12
   5  4.141E+04  2.283E-12
   5  4.762E+04  1.425E-12
   5  5.475E+04  8.874E-13
   5  6.295E+04  5.547E-13
   5  7.237E+04  3.445E-13
   5  8.321E+04  2.161E-13
   5  9.567E+04  1.335E-13
   5  1.100E+05  8.443E-14
   6  1.200E-01  1.094E-02
   6  1.380E-01  1.274E-02
   6  1.586E-01  1.484E-02
   6  1.824E-01  1.730E-02
   6  2.097E-01  2.017E-02
   6  2.411E-01  2.352E-02
   6  2.772E-01  2.743E-02
   6  3.187E-01  3.200E-02
   6  3.665E-01  3.733E-02
   6  4.213E-01  4.354E-02
   6  4.844E-01  5.074E-02
   6  5.570E-01  5.908E-02
   6  6.404E-01  6.866E-02
   6  7.363E-01  7.960E-02
   6  8.466E-01  9.197E-02
   6  9.734E-01  1.058E-01
   6  1.119E+00  1.211E-01
   6  1.287E+00  1.377E-01
   6  1.479E+00  1.554E-01
   6  1.701E+00  1.739E-01
   6  1.956E+00  1.926E-01
   6  2.249E+00  2.109E-01
   6  2.585E+00  2.281E-01
   6  2.972E+00  2.436E-01
   6  3.418E+00  2.564E-01
   6  3.929E+00  2.658E-01
   6  4.518E+00  2.713E-01
   6  5.195E+00  2.723E-01
   6  5.972E+00  2.686E-01
   6  6.867E+00  2.604E-01
   6  7.895E+00  2.479E-01
   6  9.078E+00  2.317E-01
   6  1.044E+01  2.126E-01
   6  1.200E+01  1.915E-01
   6  1.380E+01  1.693E-01
   6  1.586E+01  1.469E-01
   6  1.824E+01  1.251E-01
   6  2.097E+01  1.047E-01
   6  2.411E+01  8.602E-02
   6  2.772E+01  6.949E-02
   6  3.187E+01  5.522E-02
   6  3.665E+01  4.320E-02
   6  4.213E+01  3.328E-02
   6  4.844E+01  2.528E-02
   6  5.570E+01  1.895E-02
   6  6.404E+01  1.402E-02
   6  7.363E+01  1.026E-02
   6  8.466E+01  7.425E-03
   6  9.734E+01  5.320E-03
   6  1.119E+02  3.778E-03
   6  1.287E+02  2.662E-03
   6  1.479E+02  1.861E-03
   6  1.701E+02  1.292E-03
   6  1.956E+02  8.925E-04
   6  2.249E+02  6.131E-04
   6  2.585E+02  4.187E-04
   6  2.972E+02  2.850E-04
   6  3.418E+02  1.932E-04
   6  3.929E+02  1.305E-04
   6  4.518E+02  8.796E-05
   6  5.195E+02  5.906E-05
   6  5.972E+02  3.961E-05
   6  6.867E+02  2.651E-05
   6  7.895E+02  1.769E-05
   6  9.078E+02  1.180E-05
   6  1.044E+03  7.850E-06
   6  1.200E+03  5.223E-06
   6  1.380E+03  3.473E-06
   6  1.586E+03  2.303E-06
   6  1.824E+03  1.528E-06
   6  2.097E+03  1.012E-06
   6  2.411E+03  6.706E-07
   6  2.772E+03  4.441E-07
   6  3.187E+03  2.938E-07
   6  3.665E+03  1.943E-07
   6  4.213E+03  1.284E-07
   6  4.844E+03  8.491E-08
   6  5.570E+03  5.615E-08
   6  6.404E+03  3.707E-08
   6  7.363E+03  2.449E-08
   6  8.466E+03  1.617E-08
   6  9.734E+03  1.069E-08
   6  1.119E+04  7.050E-09
   6  1.287E+04  4.655E-09
   6  1.479E+04  3.073E-09
   6  1.701E+04  2.028E-09
   6  1.956E+04  1.339E-09
   6  2.249E+04  8.834E-10
   6  2.585E+04  5.826E-10
   6  2.972E+04  3.848E-10
   6  3.418E+04  2.537E-10
   6  3.929E+04  1.674E-10
   6  4.518E+04  1.104E-10
   6  5.195E+04  7.291E-11
   6  5.972E+04  4.805E-11
   6  6.867E+04  3.177E-11
   6  7.895E+04  2.087E-11
   6  9.078E+04  1.387E-11
   6  1.044E+05  9.055E-12
   6  1.200E+05  6.061E-12
   7  1.400E-01  2.380E-03
