2008.120219
   Z       E            F
   3  3.030E+04  1.928E-12
   3  3.484E+04  1.231E-12
   3  4.006E+04  7.889E-13
   3  4.606E+04  5.027E-13
   3  5.295E+04  3.233E-13
   3  6.088E+04  2.049E-13
   3  7.000E+04  1.328E-13
   4  9.000E-02  4.512E-03
   4  1.035E-01  5.225E-03
   4  1.190E-01  6.050E-03
   4  1.368E-01  7.005E-03
   4  1.573E-01  8.107E-03
   4  1.808E-01  9.381E-03
   4  2.079E-01  1.085E-02
   4  2.390E-01  1.254E-02
   4  2.748E-01  1.448E-02
   4  3.160E-01  1.671E-02
   4  3.633E-01  1.925E-02
   4  4.177E-01  2.214E-02
   4  4.803E-01  2.541E-02
   4  5.522E-01  2.909E-02
   4  6.349E-01  3.319E-02
   4  7.300E-01  3.773E-02
   4  8.393E-01  4.269E-02
   4  9.650E-01  4.804E-02
   4  1.110E+00  5.372E-02
   4  1.276E+00  5.964E-02
   4  1.467E+00  6.564E-02
   4  1.686E+00  7.156E-02
   4  1.939E+00  7.717E-02
   4  2.229E+00  8.221E-02
   4  2.563E+00  8.640E-02
   4  2.947E+00  8.946E-02
   4  3.388E+00  9.112E-02
   4  3.896E+00  9.118E-02
   4  4.479E+00  8.952E-02
   4  5.150E+00  8.613E-02
   4  5.921E+00  8.113E-02
   4  6.808E+00  7.474E-02
   4  7.828E+00  6.732E-02
   4  9.000E+00  5.926E-02
   4  1.035E+01  5.096E-02
   4  1.190E+01  4.280E-02
   4  1.368E+01  3.513E-02
   4  1.573E+01  2.819E-02
   4  1.808E+01  2.213E-02
   4  2.079E+01  1.702E-02
   4  2.390E+01  1.284E-02
   4  2.748E+01  9.508E-03
   4  3.160E+01  6.912E-03
   4  3.633E+01  4.947E-03
   4  4.177E+01  3.490E-03
   4  4.803E+01  2.429E-03
   4  5.522E+01  1.670E-03
   4  6.349E+01  1.134E-03
   4  7.300E+01  7.645E-04
   4  8.393E+01  5.099E-04
   4  9.650E+01  3.375E-04
   4  1.110E+02  2.219E-04
   4  1.276E+02  1.450E-04
   4  1.467E+02  9.423E-05
   4  1.686E+02  6.089E-05
   4  1.939E+02  3.921E-05
   4  2.229E+02  2.516E-05
   4  2.563E+02  1.607E-05
   4  2.947E+02  1.025E-05
   4  3.388E+02  6.516E-06
   4  3.896E+02  4.134E-06
   4  4.479E+02  2.618E-06
   4  5.150E+02  1.654E-06
   4  5.921E+02  1.045E-06
   4  6.808E+02  6.588E-07
   4  7.828E+02  4.144E-07
   4  9.000E+02  2.611E-07
   4  1.035E+03  1.639E-07
