2023.873973
    Z       E            F 
   4  7.300E+01  7.473E-04
   4  8.393E+01  5.179E-04
   4  9.648E+01  3.573E-04
   4  1.110E+02  2.450E-04
   4  1.275E+02  1.677E-04
   4  1.467E+02  1.141E-04
   4  1.687E+02  7.753E-05
   4  1.939E+02  5.256E-05
   4  2.229E+02  3.550E-05
   4  2.563E+02  2.394E-05
   4  2.948E+02  1.611E-05
   4  3.389E+02  1.083E-05
   4  3.896E+02  7.266E-06
   4  4.479E+02  4.871E-06
   4  5.150E+02  3.262E-06
   4  5.921E+02  2.182E-06
   4  6.809E+02  1.458E-06
   4  7.827E+02  9.745E-07
   4  9.000E+02  6.504E-07
   4  1.035E+03  4.337E-07
   4  1.190E+03  2.894E-07
   4  1.368E+03  1.929E-07
   4  1.573E+03  1.285E-07
   4  1.808E+03  8.569E-08
   4  2.079E+03  5.706E-08
   4  2.390E+03  3.800E-08
   4  2.749E+03  2.529E-08
   4  3.160E+03  1.684E-08
   4  3.633E+03  1.120E-08
   4  4.178E+03  7.454E-09
   4  4.803E+03  4.960E-09
   4  5.522E+03  3.300E-09
   4  6.350E+03  2.196E-09
   4  7.300E+03  1.461E-09
   4  8.393E+03  9.715E-10
   4  9.648E+03  6.466E-10
   4  1.110E+04  4.296E-10
   4  1.275E+04  2.861E-10
   4  1.467E+04  1.900E-10
   4  1.687E+04  1.264E-10
   4  1.939E+04  8.410E-11
   4  2.229E+04  5.589E-11
   4  2.563E+04  3.717E-11
   4  2.948E+04  2.470E-11
   4  3.388E+04  1.643E-11
   4  3.896E+04  1.092E-11
   4  4.479E+04  7.265E-12
   4  5.150E+04  4.833E-12
   4  5.921E+04  3.213E-12
   4  6.808E+04  2.136E-12
   4  7.827E+04  1.421E-12
   4  9.000E+04  9.440E-13
   5  1.100E-01  2.575E+00
   5  1.265E-01  2.494E+00
   5  1.454E-01  2.413E+00
   5  1.672E-01  2.334E+00
   5  1.923E-01  2.255E+00
   5  2.210E-01  2.177E+00
   5  2.541E-01  2.099E+00
   5  2.922E-01  2.021E+00
   5  3.359E-01  1.944E+00
   5  3.862E-01  1.867E+00
   5  4.441E-01  1.789E+00
   5  5.106E-01  1.711E+00
   5  5.871E-01  1.633E+00
   5  6.750E-01  1.554E+00
   5  7.761E-01  1.474E+00
   5  8.922E-01  1.394E+00
   5  1.026E+00  1.312E+00
   5  1.179E+00  1.231E+00
   5  1.356E+00  1.148E+00
   5  1.559E+00  1.066E+00
