2024.125683
   Z       E         F
   5  7.760E+01  1.813E-03
   5  8.922E+01  1.278E-03
   5  1.026E+02  8.936E-04
   5  1.179E+02  6.215E-04
   5  1.356E+02  4.290E-04
   5  1.559E+02  2.953E-04
   5  1.793E+02  2.018E-04
   5  2.061E+02  1.376E-04
   5  2.369E+02  9.348E-05
   5  2.725E+02  6.324E-05
   5  3.133E+02  4.268E-05
   5  3.602E+02  2.873E-05
   5  4.141E+02  1.930E-05
   5  4.762E+02  1.294E-05
   5  5.475E+02  8.665E-06
   5  6.294E+02  5.792E-06
   5  7.237E+02  3.866E-06
   5  8.322E+02  2.577E-06
   5  9.567E+02  1.717E-06
   5  1.100E+03  1.143E-06
   5  1.265E+03  7.593E-07
   5  1.454E+03  5.049E-07
   5  1.672E+03  3.353E-07
   5  1.923E+03  2.225E-07
   5  2.210E+03  1.478E-07
   5  2.541E+03  9.801E-08
   5  2.922E+03  6.499E-08
   5  3.359E+03  4.307E-08
   5  3.862E+03  2.855E-08
   5  4.441E+03  1.892E-08
   5  5.106E+03  1.253E-08
   5  5.871E+03  8.299E-09
   5  6.750E+03  5.497E-09
   5  7.760E+03  3.640E-09
   5  8.922E+03  2.410E-09
   5  1.026E+04  1.595E-09
   5  1.179E+04  1.057E-09
   5  1.356E+04  6.989E-10
   5  1.559E+04  4.632E-10
   5  1.793E+04  3.061E-10
   5  2.061E+04  2.026E-10
   5  2.369E+04  1.342E-10
   5  2.725E+04  8.878E-11
   5  3.133E+04  5.875E-11
   5  3.602E+04  3.886E-11
   5  4.142E+04  2.572E-11
   5  4.762E+04  1.702E-11
   5  5.475E+04  1.126E-11
   5  6.294E+04  7.454E-12
   5  7.237E+04  4.932E-12
   5  8.322E+04  3.262E-12
   5  9.567E+04  2.159E-12
   5  1.100E+05  1.428E-12
   6  1.200E-01  6.121E-02
   6  1.380E-01  6.970E-02
   6  1.586E-01  7.924E-02
   6  1.824E-01  8.995E-02
   6  2.098E-01  1.019E-01
   6  2.411E-01  1.152E-01
   6  2.772E-01  1.300E-01
   6  3.187E-01  1.462E-01
   6  3.665E-01  1.640E-01
   6  4.213E-01  1.834E-01
   6  4.844E-01  2.042E-01
   6  5.570E-01  2.265E-01
   6  6.404E-01  2.499E-01
   6  7.363E-01  2.744E-01
   6  8.466E-01  2.994E-01
   6  9.733E-01  3.247E-01
   6  1.119E+00  3.496E-01
   6  1.286E+00  3.734E-01
   6  1.480E+00  3.956E-01
   6  1.700E+00  4.152E-01
   6  1.956E+00  4.315E-01
   6  2.249E+00  4.437E-01
   6  2.585E+00  4.512E-01
   6  2.972E+00  4.533E-01
   6  3.418E+00  4.497E-01
   6  3.930E+00  4.403E-01
