1997.041096
  Heliocentric potential for LUIN spectrum =   379.000000000000       MV
   Z       E         F
   7  9.877E-01  2.629E-01
   7  1.136E+00  2.735E-01
   7  1.306E+00  2.814E-01
   7  1.501E+00  2.861E-01
   7  1.726E+00  2.872E-01
   7  1.984E+00  2.845E-01
   7  2.282E+00  2.778E-01
   7  2.623E+00  2.674E-01
   7  3.016E+00  2.536E-01
   7  3.468E+00  2.367E-01
   7  3.987E+00  2.177E-01
   7  4.584E+00  1.970E-01
   7  5.271E+00  1.756E-01
   7  6.060E+00  1.541E-01
   7  6.968E+00  1.333E-01
   7  8.011E+00  1.136E-01
   7  9.211E+00  9.553E-02
   7  1.059E+01  7.927E-02
   7  1.218E+01  6.493E-02
   7  1.400E+01  5.261E-02
   7  1.610E+01  4.213E-02
   7  1.851E+01  3.341E-02
   7  2.128E+01  2.625E-02
   7  2.447E+01  2.043E-02
   7  2.813E+01  1.579E-02
   7  3.234E+01  1.211E-02
   7  3.719E+01  9.217E-03
   7  4.275E+01  6.979E-03
   7  4.916E+01  5.251E-03
   7  5.652E+01  3.932E-03
   7  6.498E+01  2.931E-03
   7  7.471E+01  2.175E-03
   7  8.590E+01  1.607E-03
   7  9.877E+01  1.183E-03
   7  1.136E+02  8.679E-04
   7  1.306E+02  6.353E-04
   7  1.501E+02  4.640E-04
   7  1.726E+02  3.376E-04
   7  1.984E+02  2.453E-04
   7  2.282E+02  1.776E-04
   7  2.623E+02  1.285E-04
   7  3.016E+02  9.269E-05
   7  3.468E+02  6.676E-05
   7  3.987E+02  4.803E-05
   7  4.584E+02  3.449E-05
   7  5.271E+02  2.472E-05
   7  6.060E+02  1.770E-05
   7  6.968E+02  1.266E-05
   7  8.011E+02  9.041E-06
   7  9.211E+02  6.448E-06
   7  1.059E+03  4.594E-06
   7  1.218E+03  3.267E-06
   7  1.400E+03  2.324E-06
   7  1.610E+03  1.649E-06
   7  1.851E+03  1.170E-06
   7  2.128E+03  8.294E-07
   7  2.447E+03  5.869E-07
   7  2.813E+03  4.153E-07
   7  3.234E+03  2.935E-07
   7  3.719E+03  2.071E-07
   7  4.275E+03  1.461E-07
   7  4.916E+03  1.029E-07
   7  5.652E+03  7.245E-08
   7  6.498E+03  5.096E-08
   7  7.471E+03  3.581E-08
   7  8.590E+03  2.514E-08
   7  9.877E+03  1.763E-08
   7  1.136E+04  1.234E-08
   7  1.306E+04  8.645E-09
   7  1.501E+04  6.054E-09
   7  1.726E+04  4.230E-09
   7  1.984E+04  2.956E-09
   7  2.282E+04  2.060E-09
   7  2.623E+04  1.437E-09
   7  3.016E+04  1.001E-09
   7  3.468E+04  6.965E-10
   7  3.987E+04  4.844E-10
   7  4.584E+04  3.366E-10
   7  5.271E+04  2.336E-10
   7  6.060E+04  1.620E-10
   7  6.968E+04  1.122E-10
   7  8.011E+04  7.773E-11
   7  9.211E+04  5.377E-11
   7  1.059E+05  3.717E-11
   7  1.218E+05  2.564E-11
   7  1.400E+05  1.771E-11
   8  1.600E-01  1.220E-01
   8  1.840E-01  1.377E-01
   8  2.115E-01  1.551E-01
   8  2.432E-01  1.741E-01
   8  2.796E-01  1.948E-01
   8  3.215E-01  2.172E-01
   8  3.696E-01  2.411E-01
   8  4.250E-01  2.664E-01
   8  4.886E-01  2.928E-01
   8  5.618E-01  3.198E-01
   8  6.459E-01  3.470E-01
   8  7.427E-01  3.738E-01
   8  8.539E-01  3.994E-01
   8  9.817E-01  4.230E-01
   8  1.129E+00  4.437E-01
   8  1.298E+00  4.604E-01
   8  1.492E+00  4.724E-01
   8  1.716E+00  4.788E-01
   8  1.973E+00  4.791E-01
   8  2.268E+00  4.729E-01
   8  2.608E+00  4.602E-01
   8  2.998E+00  4.412E-01
   8  3.447E+00  4.167E-01
   8  3.963E+00  3.875E-01
   8  4.557E+00  3.547E-01
   8  5.239E+00  3.197E-01
   8  6.024E+00  2.837E-01
   8  6.926E+00  2.480E-01
   8  7.963E+00  2.136E-01
   8  9.156E+00  1.813E-01
   8  1.053E+01  1.518E-01
   8  1.210E+01  1.256E-01
   8  1.392E+01  1.024E-01
   8  1.600E+01  8.271E-02
   8  1.840E+01  6.601E-02
   8  2.115E+01  5.220E-02
   8  2.432E+01  4.088E-02
   8  2.796E+01  3.175E-02
