1968.041096
   Z,        E,        F  
   3  9.254E+02  1.000E-33
   3  1.064E+03  1.000E-33
   3  1.223E+03  1.000E-33
   3  1.406E+03  1.000E-33
   3  1.617E+03  1.000E-33
   3  1.859E+03  1.000E-33
   3  2.138E+03  1.000E-33
   3  2.458E+03  1.000E-33
   3  2.826E+03  1.000E-33
   3  3.249E+03  1.000E-33
   3  3.736E+03  1.000E-33
   3  4.295E+03  1.000E-33
   3  4.938E+03  1.000E-33
   3  5.678E+03  1.000E-33
   3  6.528E+03  1.000E-33
   3  7.506E+03  1.000E-33
   3  8.630E+03  1.000E-33
   3  9.922E+03  1.000E-33
   3  1.141E+04  1.000E-33
   3  1.312E+04  1.000E-33
   3  1.508E+04  1.000E-33
   3  1.734E+04  1.000E-33
   3  1.994E+04  1.000E-33
   3  2.292E+04  1.000E-33
   3  2.635E+04  1.000E-33
   3  3.030E+04  1.000E-33
   3  3.484E+04  1.000E-33
   3  4.006E+04  1.000E-33
   3  4.606E+04  1.000E-33
   3  5.295E+04  1.000E-33
   3  6.088E+04  1.000E-33
   3  7.000E+04  1.000E-33
   4  9.000E-02  1.000E-33
   4  1.035E-01  1.000E-33
   4  1.190E-01  1.000E-33
   4  1.368E-01  1.000E-33
   4  1.573E-01  1.000E-33
   4  1.808E-01  1.000E-33
   4  2.079E-01  1.000E-33
   4  2.390E-01  1.000E-33
   4  2.748E-01  1.000E-33
   4  3.160E-01  1.000E-33
   4  3.633E-01  1.000E-33
   4  4.177E-01  1.000E-33
   4  4.803E-01  1.000E-33
   4  5.522E-01  1.000E-33
   4  6.349E-01  1.000E-33
   4  7.300E-01  1.000E-33
   4  8.393E-01  1.000E-33
   4  9.650E-01  1.000E-33
   4  1.110E+00  1.000E-33
   4  1.276E+00  1.000E-33
   4  1.467E+00  1.000E-33
   4  1.686E+00  1.000E-33
   4  1.939E+00  1.000E-33
   4  2.229E+00  1.000E-33
   4  2.563E+00  1.000E-33
   4  2.947E+00  1.000E-33
   4  3.388E+00  1.000E-33
   4  3.896E+00  1.000E-33
   4  4.479E+00  1.000E-33
   4  5.150E+00  1.000E-33
   4  5.921E+00  1.000E-33
   4  6.808E+00  1.000E-33
   4  7.828E+00  1.000E-33
   4  9.000E+00  1.000E-33
   4  1.035E+01  1.000E-33
   4  1.190E+01  1.000E-33
   4  1.368E+01  1.000E-33
   4  1.573E+01  1.000E-33
   4  1.808E+01  1.000E-33
   4  2.079E+01  1.000E-33
   4  2.390E+01  1.000E-33
   4  2.748E+01  1.000E-33
   4  3.160E+01  1.000E-33
   4  3.633E+01  1.000E-33
   4  4.177E+01  1.000E-33
   4  4.803E+01  1.000E-33
   4  5.522E+01  1.000E-33
   4  6.349E+01  1.000E-33
   4  7.300E+01  1.000E-33
   4  8.393E+01  1.000E-33
   4  9.650E+01  1.000E-33
   4  1.110E+02  1.000E-33
   4  1.276E+02  1.000E-33
   4  1.467E+02  1.000E-33
   4  1.686E+02  1.000E-33
   4  1.939E+02  1.000E-33
   4  2.229E+02  1.000E-33
   4  2.563E+02  1.000E-33
   4  2.947E+02  1.000E-33
   4  3.388E+02  1.000E-33
   4  3.896E+02  1.000E-33
   4  4.479E+02  1.000E-33
   4  5.150E+02  1.000E-33
   4  5.921E+02  1.000E-33
   4  6.808E+02  1.000E-33
   4  7.828E+02  1.000E-33
   4  9.000E+02  1.000E-33
   4  1.035E+03  1.000E-33
   4  1.190E+03  1.000E-33
   4  1.368E+03  1.000E-33
   4  1.573E+03  1.000E-33
   4  1.808E+03  1.000E-33
   4  2.079E+03  1.000E-33
   4  2.390E+03  1.000E-33
   4  2.748E+03  1.000E-33
   4  3.160E+03  1.000E-33
   4  3.633E+03  1.000E-33
   4  4.177E+03  1.000E-33
   4  4.803E+03  1.000E-33
   4  5.522E+03  1.000E-33
   4  6.349E+03  1.000E-33
   4  7.300E+03  1.000E-33
   4  8.393E+03  1.000E-33
   4  9.650E+03  1.000E-33
   4  1.110E+04  1.000E-33
   4  1.276E+04  1.000E-33
   4  1.467E+04  1.000E-33
   4  1.686E+04  1.000E-33
   4  1.939E+04  1.000E-33
   4  2.229E+04  1.000E-33
   4  2.563E+04  1.000E-33
   4  2.947E+04  1.000E-33
   4  3.388E+04  1.000E-33
   4  3.896E+04  1.000E-33
   4  4.479E+04  1.000E-33
   4  5.150E+04  1.000E-33
   4  5.921E+04  1.000E-33
   4  6.808E+04  1.000E-33
   4  7.828E+04  1.000E-33
   4  9.000E+04  1.000E-33
   5  1.100E-01  1.000E-33
   5  1.265E-01  1.000E-33
   5  1.454E-01  1.000E-33
   5  1.672E-01  1.000E-33
   5  1.922E-01  1.000E-33
   5  2.210E-01  1.000E-33
   5  2.541E-01  1.000E-33
   5  2.922E-01  1.000E-33
   5  3.359E-01  1.000E-33
   5  3.862E-01  1.000E-33
   5  4.441E-01  1.000E-33
   5  5.106E-01  1.000E-33
   5  5.870E-01  1.000E-33
