datetime,latitude,longitude,altitude
2024-02-11T01:13:01.40625Z,42.82943,-75.92264,4741.2
2024-02-11T01:14:01.40625Z,42.82830,-75.91569,4364.6
2024-02-11T01:15:01.40625Z,42.82738,-75.90919,3995.3
2024-02-11T01:16:01.40625Z,42.82651,-75.90342,3633.1
2024-02-11T01:17:01.40625Z,42.82561,-75.89823,3277.7
2024-02-11T01:18:01.40625Z,42.82469,-75.89325,2928.6
2024-02-11T01:19:01.40625Z,42.82362,-75.88802,2585.7
2024-02-11T01:20:01.40625Z,42.82214,-75.88226,2248.7
2024-02-11T01:21:01.40625Z,42.82046,-75.87634,1917.3
2024-02-11T01:22:01.40625Z,42.81855,-75.87020,1591.3
2024-02-11T01:23:01.40625Z,42.81641,-75.86317,1270.5
2024-02-11T01:24:01.40625Z,42.81440,-75.85487,954.7
2024-02-11T01:25:01.40625Z,42.81331,-75.84659,643.8
2024-02-11T01:25:24.375Z,42.81337,-75.84441,526.5
